run,label,velocity_mps,direction,family,metric,metric_label,unit,cells,signed_imbalance_percent,mean_absolute_imbalance_percent,total_per_directed_m
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.0,backward,all_family_balanced,absolute_work,Absolute work,J,10,0.18072908097025786,10.185692690420197,159.797494809225
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.0,backward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,1,-2.7655198906611105,2.7655198906611105,177.4644050233377
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.0,backward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,1,-0.5602893671001413,0.5602893671001413,170.7447310908949
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.0,backward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,4,0.7039539866892056,4.080816502660869,171.81793915232524
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.0,backward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,4,-2.0858977266283523,2.285870901877929,171.5131323112154
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.0,backward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,10,-1.1769382494250995,2.4231241655750124,172.8850518944433
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-0.5,backward,trot,torque_squared,Torque²,N² m² s,1,-3.779696195930068,3.779696195930068,322.4784251201629
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-0.5,backward,bound,torque_squared,Torque²,N² m² s,1,-20.738335993520714,20.738335993520714,682.0385098678141
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-0.5,backward,half_bound,torque_squared,Torque²,N² m² s,4,-4.575814604953898,6.078714427299496,436.94297058867016
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-0.5,backward,gallop,torque_squared,Torque²,N² m² s,4,-7.928769901064496,9.31268433602533,424.85760867831954
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-0.5,backward,all_family_balanced,torque_squared,Torque²,N² m² s,10,-9.255654173867294,9.977357738193902,466.57937856374167
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-0.5,backward,trot,absolute_work,Absolute work,J,1,2.097344665600123,2.097344665600123,48.4029398092616
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-0.5,backward,bound,absolute_work,Absolute work,J,1,-36.275144420208065,36.275144420208065,491.3116492369095
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-0.5,backward,half_bound,absolute_work,Absolute work,J,4,-4.875255316266447,9.348366192994684,199.71228764767739
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-0.5,backward,gallop,absolute_work,Absolute work,J,4,2.9216383364600707,3.747219346273356,161.16769196485635
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-0.5,backward,all_family_balanced,absolute_work,Absolute work,J,10,-9.032854183603579,12.867018656269057,225.1486421646762
